geometry_id,protocol,split,is_ood,geometry_family,beta1,beta2,n_vertices,n_tetrahedra,min_clearance,quality_min,quality_mean,relative_path
PA_test_iid_0017_b11,A,test_iid,0,A,1,1,2478,10557,0.14275349094437356,0.46472471952438354,0.8611689209938049,protocol_A/test_iid/PA_test_iid_0017_b11
PA_test_iid_0018_b11,A,test_iid,0,A,1,1,2467,10555,0.1355117995761797,0.5177975296974182,0.8619632124900818,protocol_A/test_iid/PA_test_iid_0018_b11
PA_test_iid_0019_b11,A,test_iid,0,A,1,1,2489,10627,0.1352040019162475,0.47551819682121277,0.8638062477111816,protocol_A/test_iid/PA_test_iid_0019_b11
PA_test_iid_0020_b11,A,test_iid,0,A,1,1,2392,10153,0.14623489830685582,0.45975369215011597,0.8597080111503601,protocol_A/test_iid/PA_test_iid_0020_b11
PA_test_iid_0021_b11,A,test_iid,0,A,1,1,2584,11023,0.1095951847127577,0.45883598923683167,0.8591400384902954,protocol_A/test_iid/PA_test_iid_0021_b11
PA_test_iid_0022_b11,A,test_iid,0,A,1,1,2428,10230,0.12457228400802348,0.5064767599105835,0.8620499968528748,protocol_A/test_iid/PA_test_iid_0022_b11
PA_test_iid_0023_b11,A,test_iid,0,A,1,1,2592,11130,0.1933040603271931,0.4673691689968109,0.8614169359207153,protocol_A/test_iid/PA_test_iid_0023_b11
PA_test_iid_0024_b11,A,test_iid,0,A,1,1,2578,11072,0.1983368675349418,0.487737238407135,0.8637584447860718,protocol_A/test_iid/PA_test_iid_0024_b11
PA_test_iid_0025_b11,A,test_iid,0,A,1,1,2284,9556,0.10853742679100892,0.5550501942634583,0.862407386302948,protocol_A/test_iid/PA_test_iid_0025_b11
PA_test_iid_0026_b11,A,test_iid,0,A,1,1,2464,10500,0.1594719311974216,0.4658968150615692,0.8627854585647583,protocol_A/test_iid/PA_test_iid_0026_b11
PA_test_iid_0027_b11,A,test_iid,0,A,1,1,2583,11096,0.1400902132155491,0.5256441831588745,0.8650018572807312,protocol_A/test_iid/PA_test_iid_0027_b11
PA_test_iid_0028_b11,A,test_iid,0,A,1,1,2598,11187,0.1067448835802865,0.4334271252155304,0.8612720966339111,protocol_A/test_iid/PA_test_iid_0028_b11
PA_test_iid_0029_b11,A,test_iid,0,A,1,1,2467,10421,0.10328069560782495,0.4594736695289612,0.8568189144134521,protocol_A/test_iid/PA_test_iid_0029_b11
PA_test_iid_0030_b11,A,test_iid,0,A,1,1,2443,10405,0.12393863286432108,0.5094267725944519,0.8612582683563232,protocol_A/test_iid/PA_test_iid_0030_b11
PA_test_iid_0031_b11,A,test_iid,0,A,1,1,2484,10588,0.13138770394603044,0.4420509934425354,0.8636451959609985,protocol_A/test_iid/PA_test_iid_0031_b11
PA_test_iid_0032_b11,A,test_iid,0,A,1,1,2401,10207,0.16861429487066987,0.37807783484458923,0.8591580986976624,protocol_A/test_iid/PA_test_iid_0032_b11
PA_test_iid_0033_b11,A,test_iid,0,A,1,1,2520,10656,0.15407107587409205,0.5523925423622131,0.8631452322006226,protocol_A/test_iid/PA_test_iid_0033_b11
PA_test_iid_0034_b11,A,test_iid,0,A,1,1,2408,10265,0.11314711810450491,0.46975335478782654,0.8586620688438416,protocol_A/test_iid/PA_test_iid_0034_b11
PA_test_iid_0035_b11,A,test_iid,0,A,1,1,2504,10849,0.2270108052975996,0.4981141984462738,0.8649356365203857,protocol_A/test_iid/PA_test_iid_0035_b11
PA_test_iid_0036_b11,A,test_iid,0,A,1,1,2492,10623,0.10402932899777481,0.5557971000671387,0.8616188168525696,protocol_A/test_iid/PA_test_iid_0036_b11
PA_test_iid_0037_b11,A,test_iid,0,A,1,1,2517,10823,0.15799252879429962,0.4950745105743408,0.8658708333969116,protocol_A/test_iid/PA_test_iid_0037_b11
PA_test_iid_0038_b11,A,test_iid,0,A,1,1,2510,10750,0.1142429410419378,0.46120524406433105,0.8637111186981201,protocol_A/test_iid/PA_test_iid_0038_b11
PA_test_iid_0039_b11,A,test_iid,0,A,1,1,2452,10439,0.11410124454897169,0.4353925287723541,0.8600172400474548,protocol_A/test_iid/PA_test_iid_0039_b11
PA_test_iid_0040_b11,A,test_iid,0,A,1,1,2554,11088,0.16522810074532568,0.4771537482738495,0.8639662861824036,protocol_A/test_iid/PA_test_iid_0040_b11
PA_test_iid_0041_b11,A,test_iid,0,A,1,1,2566,10922,0.1719074092758164,0.5531615614891052,0.861445426940918,protocol_A/test_iid/PA_test_iid_0041_b11
PA_test_iid_0042_b11,A,test_iid,0,A,1,1,2460,10401,0.10659655869101348,0.4831867516040802,0.8612889647483826,protocol_A/test_iid/PA_test_iid_0042_b11
PA_test_iid_0043_b11,A,test_iid,0,A,1,1,2538,10880,0.10885492905616473,0.4086917042732239,0.8626344799995422,protocol_A/test_iid/PA_test_iid_0043_b11
PA_test_iid_0044_b11,A,test_iid,0,A,1,1,2598,11263,0.1696342177208497,0.5167723298072815,0.8664012551307678,protocol_A/test_iid/PA_test_iid_0044_b11
PA_test_iid_0045_b11,A,test_iid,0,A,1,1,2626,11218,0.1330696939660825,0.44454750418663025,0.8623181581497192,protocol_A/test_iid/PA_test_iid_0045_b11
PA_test_iid_0046_b11,A,test_iid,0,A,1,1,2405,10112,0.1675538111977966,0.5249800086021423,0.8601062893867493,protocol_A/test_iid/PA_test_iid_0046_b11
PA_test_iid_0047_b11,A,test_iid,0,A,1,1,2428,10312,0.14606515442785858,0.5321663022041321,0.8618913292884827,protocol_A/test_iid/PA_test_iid_0047_b11
PA_test_iid_0048_b11,A,test_iid,0,A,1,1,2594,11131,0.10014686044111033,0.48709386587142944,0.8616746664047241,protocol_A/test_iid/PA_test_iid_0048_b11
PA_test_iid_0049_b11,A,test_iid,0,A,1,1,2593,11246,0.1626617268684762,0.4436909854412079,0.8651580214500427,protocol_A/test_iid/PA_test_iid_0049_b11
PA_test_iid_0050_b11,A,test_iid,0,A,1,1,2539,10858,0.16372117233124717,0.47097867727279663,0.8626611828804016,protocol_A/test_iid/PA_test_iid_0050_b11
PA_test_iid_0051_b11,A,test_iid,0,A,1,1,2610,11257,0.18558350732507722,0.4906298816204071,0.8637089133262634,protocol_A/test_iid/PA_test_iid_0051_b11
PA_test_iid_0052_b11,A,test_iid,0,A,1,1,2591,11200,0.1631839327736317,0.36222726106643677,0.8636912107467651,protocol_A/test_iid/PA_test_iid_0052_b11
PA_test_iid_0053_b11,A,test_iid,0,A,1,1,2458,10484,0.11876637242523255,0.532871425151825,0.8637350797653198,protocol_A/test_iid/PA_test_iid_0053_b11
PA_test_iid_0054_b11,A,test_iid,0,A,1,1,2528,10826,0.1464256659160455,0.5339393615722656,0.8614203929901123,protocol_A/test_iid/PA_test_iid_0054_b11
PA_test_iid_0055_b11,A,test_iid,0,A,1,1,2518,10889,0.20390735241927527,0.45006561279296875,0.8620498776435852,protocol_A/test_iid/PA_test_iid_0055_b11
PA_test_iid_0056_b11,A,test_iid,0,A,1,1,2361,10005,0.1278485561058749,0.44358718395233154,0.8648431897163391,protocol_A/test_iid/PA_test_iid_0056_b11
PA_test_iid_0057_b11,A,test_iid,0,A,1,1,2461,10467,0.11671087393684351,0.5370498895645142,0.8600417971611023,protocol_A/test_iid/PA_test_iid_0057_b11
PA_test_iid_0058_b11,A,test_iid,0,A,1,1,2523,10847,0.2129734853292661,0.5475975871086121,0.8624182939529419,protocol_A/test_iid/PA_test_iid_0058_b11
PA_test_iid_0059_b11,A,test_iid,0,A,1,1,2536,10883,0.12978726219943215,0.5416850447654724,0.8656671643257141,protocol_A/test_iid/PA_test_iid_0059_b11
PA_test_iid_0060_b11,A,test_iid,0,A,1,1,2577,11209,0.21600063794705399,0.5444117784500122,0.8646356463432312,protocol_A/test_iid/PA_test_iid_0060_b11
PA_test_iid_0061_b11,A,test_iid,0,A,1,1,2495,10730,0.10633358360082786,0.4536481201648712,0.8624846935272217,protocol_A/test_iid/PA_test_iid_0061_b11
PA_test_iid_0062_b11,A,test_iid,0,A,1,1,2503,10632,0.1636899749096705,0.4943322539329529,0.8607237339019775,protocol_A/test_iid/PA_test_iid_0062_b11
PA_test_iid_0063_b11,A,test_iid,0,A,1,1,2440,10374,0.1649389218760887,0.4785650968551636,0.861646294593811,protocol_A/test_iid/PA_test_iid_0063_b11
PA_test_iid_0064_b11,A,test_iid,0,A,1,1,2449,10350,0.11275262892577362,0.4727225601673126,0.8572379946708679,protocol_A/test_iid/PA_test_iid_0064_b11
PA_test_iid_0065_b11,A,test_iid,0,A,1,1,2545,11044,0.18390037008724847,0.5085670948028564,0.863530158996582,protocol_A/test_iid/PA_test_iid_0065_b11
PA_test_iid_0066_b11,A,test_iid,0,A,1,1,2599,11206,0.16701398601036924,0.5541205406188965,0.8671799302101135,protocol_A/test_iid/PA_test_iid_0066_b11
PA_test_iid_0067_b11,A,test_iid,0,A,1,1,2416,10165,0.11031274308032835,0.5439438819885254,0.8584909439086914,protocol_A/test_iid/PA_test_iid_0067_b11
PA_test_iid_0068_b11,A,test_iid,0,A,1,1,2562,11026,0.10420212423647504,0.5484997034072876,0.8616425395011902,protocol_A/test_iid/PA_test_iid_0068_b11
PA_test_iid_0069_b11,A,test_iid,0,A,1,1,2443,10320,0.11931357315774829,0.5295922756195068,0.8593374490737915,protocol_A/test_iid/PA_test_iid_0069_b11
PA_test_iid_0070_b11,A,test_iid,0,A,1,1,2623,11297,0.10885576898724247,0.460555762052536,0.861745297908783,protocol_A/test_iid/PA_test_iid_0070_b11
PA_test_iid_0071_b11,A,test_iid,0,A,1,1,2538,10969,0.2376045231211551,0.5571509599685669,0.8613649606704712,protocol_A/test_iid/PA_test_iid_0071_b11
PA_test_iid_0072_b11,A,test_iid,0,A,1,1,2592,11188,0.12753113390912799,0.4662967324256897,0.863506019115448,protocol_A/test_iid/PA_test_iid_0072_b11
PA_test_iid_0073_b11,A,test_iid,0,A,1,1,2490,10701,0.14698390621489255,0.4847845435142517,0.8640978336334229,protocol_A/test_iid/PA_test_iid_0073_b11
PA_test_iid_0074_b11,A,test_iid,0,A,1,1,2482,10590,0.1168800549922622,0.4673928916454315,0.8624396920204163,protocol_A/test_iid/PA_test_iid_0074_b11
PA_test_iid_0075_b11,A,test_iid,0,A,1,1,2433,10278,0.10121993182785008,0.46357762813568115,0.8600958585739136,protocol_A/test_iid/PA_test_iid_0075_b11
PA_test_iid_0076_b11,A,test_iid,0,A,1,1,2542,10823,0.24118268445353352,0.5464227199554443,0.8614844083786011,protocol_A/test_iid/PA_test_iid_0076_b11
PA_test_iid_0077_b11,A,test_iid,0,A,1,1,2536,10900,0.1531928882742804,0.5475519895553589,0.8650768995285034,protocol_A/test_iid/PA_test_iid_0077_b11
PA_test_iid_0078_b11,A,test_iid,0,A,1,1,2551,10924,0.1021923022751888,0.5173030495643616,0.8620761632919312,protocol_A/test_iid/PA_test_iid_0078_b11
PA_test_iid_0079_b11,A,test_iid,0,A,1,1,2504,10677,0.1476509360899757,0.5395230054855347,0.8623218536376953,protocol_A/test_iid/PA_test_iid_0079_b11
PA_test_iid_0080_b11,A,test_iid,0,A,1,1,2530,10867,0.14092256776730283,0.49743255972862244,0.8657631278038025,protocol_A/test_iid/PA_test_iid_0080_b11
PA_test_iid_0081_b11,A,test_iid,0,A,1,1,2538,10916,0.20458307714801416,0.5580194592475891,0.8644574880599976,protocol_A/test_iid/PA_test_iid_0081_b11
PA_test_iid_0082_b11,A,test_iid,0,A,1,1,2530,10865,0.1381360493026782,0.538634717464447,0.863933801651001,protocol_A/test_iid/PA_test_iid_0082_b11
PA_test_iid_0083_b11,A,test_iid,0,A,1,1,2427,10446,0.17096073551748964,0.4668588638305664,0.8603000640869141,protocol_A/test_iid/PA_test_iid_0083_b11
PA_test_iid_0084_b11,A,test_iid,0,A,1,1,2414,10335,0.1366383943629665,0.5414836406707764,0.8608924150466919,protocol_A/test_iid/PA_test_iid_0084_b11
PA_test_iid_0085_b11,A,test_iid,0,A,1,1,2522,10795,0.2096252375011286,0.4739658832550049,0.8634023070335388,protocol_A/test_iid/PA_test_iid_0085_b11
PA_test_iid_0086_b11,A,test_iid,0,A,1,1,2541,10988,0.16136039279219305,0.5309125781059265,0.86517733335495,protocol_A/test_iid/PA_test_iid_0086_b11
PA_test_iid_0087_b11,A,test_iid,0,A,1,1,2405,10063,0.14572330680495552,0.38788968324661255,0.8601515293121338,protocol_A/test_iid/PA_test_iid_0087_b11
PA_test_iid_0088_b11,A,test_iid,0,A,1,1,2532,10861,0.14624248629717532,0.5344740748405457,0.8654267191886902,protocol_A/test_iid/PA_test_iid_0088_b11
PA_test_iid_0089_b11,A,test_iid,0,A,1,1,2613,11301,0.12578481821027565,0.48175048828125,0.8601970672607422,protocol_A/test_iid/PA_test_iid_0089_b11
PA_test_iid_0090_b11,A,test_iid,0,A,1,1,2567,11105,0.1500117223269113,0.5522665977478027,0.8638007044792175,protocol_A/test_iid/PA_test_iid_0090_b11
PA_test_iid_0091_b11,A,test_iid,0,A,1,1,2580,11106,0.12857738551760212,0.5408128499984741,0.863505482673645,protocol_A/test_iid/PA_test_iid_0091_b11
PA_test_iid_0092_b11,A,test_iid,0,A,1,1,2407,10122,0.13872514950322737,0.5429911017417908,0.8620314598083496,protocol_A/test_iid/PA_test_iid_0092_b11
PA_test_iid_0093_b11,A,test_iid,0,A,1,1,2383,9924,0.11588519199437694,0.4225230813026428,0.857761561870575,protocol_A/test_iid/PA_test_iid_0093_b11
PA_test_iid_0094_b11,A,test_iid,0,A,1,1,2452,10451,0.17012692335738147,0.4688555896282196,0.8637223243713379,protocol_A/test_iid/PA_test_iid_0094_b11
PA_test_iid_0095_b11,A,test_iid,0,A,1,1,2481,10496,0.12585326738588726,0.46743741631507874,0.8600159883499146,protocol_A/test_iid/PA_test_iid_0095_b11
PA_test_iid_0096_b11,A,test_iid,0,A,1,1,2360,9878,0.13208449447675616,0.46211057901382446,0.8592658638954163,protocol_A/test_iid/PA_test_iid_0096_b11
PA_test_iid_0097_b11,A,test_iid,0,A,1,1,2621,11329,0.14674259346448287,0.49174320697784424,0.8609098792076111,protocol_A/test_iid/PA_test_iid_0097_b11
PA_test_iid_0098_b11,A,test_iid,0,A,1,1,2536,10907,0.15971996679589295,0.525039553642273,0.8610366582870483,protocol_A/test_iid/PA_test_iid_0098_b11
PA_test_iid_0099_b11,A,test_iid,0,A,1,1,2554,10963,0.1130265407491749,0.5176072120666504,0.8610485196113586,protocol_A/test_iid/PA_test_iid_0099_b11
PA_test_iid_0100_b11,A,test_iid,0,A,1,1,2519,10672,0.11958346102019463,0.4786619246006012,0.8599690794944763,protocol_A/test_iid/PA_test_iid_0100_b11
PA_test_iid_0101_b11,A,test_iid,0,A,1,1,2490,10485,0.10614079061611553,0.5292207598686218,0.8618249297142029,protocol_A/test_iid/PA_test_iid_0101_b11
PA_test_iid_0102_b11,A,test_iid,0,A,1,1,2616,11304,0.27185022735455094,0.46036165952682495,0.8621875643730164,protocol_A/test_iid/PA_test_iid_0102_b11
PA_test_iid_0103_b11,A,test_iid,0,A,1,1,2645,11380,0.1356652955235058,0.5166200995445251,0.862442672252655,protocol_A/test_iid/PA_test_iid_0103_b11
PA_test_iid_0104_b11,A,test_iid,0,A,1,1,2430,10179,0.12958023383314657,0.4536697566509247,0.8566876649856567,protocol_A/test_iid/PA_test_iid_0104_b11
PA_test_iid_0105_b11,A,test_iid,0,A,1,1,2387,10080,0.13859423136682858,0.5260655879974365,0.8595495820045471,protocol_A/test_iid/PA_test_iid_0105_b11
PA_test_iid_0106_b11,A,test_iid,0,A,1,1,2415,10103,0.11274574159765456,0.4542505741119385,0.8600890040397644,protocol_A/test_iid/PA_test_iid_0106_b11
PA_test_iid_0107_b11,A,test_iid,0,A,1,1,2559,11141,0.1727066634177848,0.5095245838165283,0.8632358312606812,protocol_A/test_iid/PA_test_iid_0107_b11
PA_test_iid_0108_b11,A,test_iid,0,A,1,1,2405,10150,0.10642235060819177,0.49719899892807007,0.856975257396698,protocol_A/test_iid/PA_test_iid_0108_b11
PA_test_iid_0109_b11,A,test_iid,0,A,1,1,2454,10612,0.20952305219475334,0.5208566784858704,0.8644359707832336,protocol_A/test_iid/PA_test_iid_0109_b11
PA_test_iid_0110_b11,A,test_iid,0,A,1,1,2590,11134,0.1265601281961812,0.45072832703590393,0.862834632396698,protocol_A/test_iid/PA_test_iid_0110_b11
PA_test_iid_0111_b11,A,test_iid,0,A,1,1,2504,10581,0.1453155084392601,0.531926155090332,0.8613210916519165,protocol_A/test_iid/PA_test_iid_0111_b11
PA_test_iid_0112_b11,A,test_iid,0,A,1,1,2457,10461,0.10307302180518235,0.46617427468299866,0.8628323078155518,protocol_A/test_iid/PA_test_iid_0112_b11
PA_test_iid_0113_b11,A,test_iid,0,A,1,1,2636,11339,0.1000490815604974,0.3835318088531494,0.861178457736969,protocol_A/test_iid/PA_test_iid_0113_b11
PA_test_iid_0114_b11,A,test_iid,0,A,1,1,2599,11260,0.2407988807006033,0.4926515817642212,0.8666207194328308,protocol_A/test_iid/PA_test_iid_0114_b11
PA_test_iid_0115_b11,A,test_iid,0,A,1,1,2454,10440,0.1095748091936456,0.44401928782463074,0.8600713014602661,protocol_A/test_iid/PA_test_iid_0115_b11
PA_test_iid_0116_b11,A,test_iid,0,A,1,1,2486,10583,0.15270365132130345,0.48068156838417053,0.8633483648300171,protocol_A/test_iid/PA_test_iid_0116_b11
PA_test_iid_0117_b11,A,test_iid,0,A,1,1,2501,10736,0.1230977300927937,0.4500398337841034,0.8640764355659485,protocol_A/test_iid/PA_test_iid_0117_b11
PA_test_iid_0118_b11,A,test_iid,0,A,1,1,2564,11074,0.10340416640544815,0.5489550232887268,0.8615933060646057,protocol_A/test_iid/PA_test_iid_0118_b11
PA_test_iid_0119_b11,A,test_iid,0,A,1,1,2452,10464,0.15313809849997925,0.5185005068778992,0.8643762469291687,protocol_A/test_iid/PA_test_iid_0119_b11
PA_test_iid_0120_b11,A,test_iid,0,A,1,1,2441,10306,0.10207004917282905,0.3913492262363434,0.8612441420555115,protocol_A/test_iid/PA_test_iid_0120_b11
PA_test_iid_0121_b11,A,test_iid,0,A,1,1,2339,9780,0.10789062533055636,0.5090135931968689,0.8582260012626648,protocol_A/test_iid/PA_test_iid_0121_b11
PA_test_iid_0122_b11,A,test_iid,0,A,1,1,2458,10556,0.1526367855377904,0.46449634432792664,0.8597823977470398,protocol_A/test_iid/PA_test_iid_0122_b11
PA_test_iid_0123_b11,A,test_iid,0,A,1,1,2517,10768,0.15576784395076085,0.43009498715400696,0.8624706268310547,protocol_A/test_iid/PA_test_iid_0123_b11
PA_test_iid_0124_b11,A,test_iid,0,A,1,1,2477,10353,0.13920578035348657,0.5346795916557312,0.8580361008644104,protocol_A/test_iid/PA_test_iid_0124_b11
PA_test_iid_0125_b11,A,test_iid,0,A,1,1,2569,10922,0.11325606519991066,0.4971100389957428,0.861929178237915,protocol_A/test_iid/PA_test_iid_0125_b11
PA_test_iid_0126_b11,A,test_iid,0,A,1,1,2624,11278,0.13781224104348588,0.4447344243526459,0.8641374707221985,protocol_A/test_iid/PA_test_iid_0126_b11
PA_test_iid_0127_b11,A,test_iid,0,A,1,1,2411,10204,0.13191182081777608,0.4593433439731598,0.8591792583465576,protocol_A/test_iid/PA_test_iid_0127_b11
PA_test_iid_0128_b11,A,test_iid,0,A,1,1,2540,10846,0.16087045441253917,0.36218181252479553,0.8603337407112122,protocol_A/test_iid/PA_test_iid_0128_b11
PA_test_iid_0129_b11,A,test_iid,0,A,1,1,2377,9879,0.1269038803414739,0.514517068862915,0.8605731725692749,protocol_A/test_iid/PA_test_iid_0129_b11
PA_test_iid_0130_b11,A,test_iid,0,A,1,1,2368,10090,0.1821125419611542,0.3250623345375061,0.8567911386489868,protocol_A/test_iid/PA_test_iid_0130_b11
PA_test_iid_0131_b11,A,test_iid,0,A,1,1,2591,11103,0.12414227143810094,0.5311991572380066,0.8639863729476929,protocol_A/test_iid/PA_test_iid_0131_b11
PA_test_iid_0132_b11,A,test_iid,0,A,1,1,2441,10477,0.1331904921345425,0.5653896331787109,0.8631554245948792,protocol_A/test_iid/PA_test_iid_0132_b11
PA_test_iid_0133_b11,A,test_iid,0,A,1,1,2377,9987,0.11492404437045023,0.5496451258659363,0.8610799312591553,protocol_A/test_iid/PA_test_iid_0133_b11
PA_test_iid_0134_b11,A,test_iid,0,A,1,1,2574,11121,0.16560693058280868,0.5310524106025696,0.8623948693275452,protocol_A/test_iid/PA_test_iid_0134_b11
PA_test_iid_0135_b11,A,test_iid,0,A,1,1,2640,11343,0.10121570786068634,0.5368360877037048,0.8612907528877258,protocol_A/test_iid/PA_test_iid_0135_b11
PA_test_iid_0136_b11,A,test_iid,0,A,1,1,2437,10388,0.16586492842866613,0.5652612447738647,0.8622980117797852,protocol_A/test_iid/PA_test_iid_0136_b11
PA_test_iid_0137_b11,A,test_iid,0,A,1,1,2512,10799,0.24083503897574407,0.5409965515136719,0.8617616295814514,protocol_A/test_iid/PA_test_iid_0137_b11
PA_test_iid_0138_b11,A,test_iid,0,A,1,1,2515,10820,0.10815836714945812,0.4767819046974182,0.8644556403160095,protocol_A/test_iid/PA_test_iid_0138_b11
PA_test_iid_0139_b11,A,test_iid,0,A,1,1,2416,10268,0.13447358590738104,0.48814815282821655,0.863838791847229,protocol_A/test_iid/PA_test_iid_0139_b11
PA_test_iid_0140_b11,A,test_iid,0,A,1,1,2562,11036,0.18576694315578285,0.506146252155304,0.8614784479141235,protocol_A/test_iid/PA_test_iid_0140_b11
PA_test_iid_0141_b11,A,test_iid,0,A,1,1,2531,10867,0.21788800614184733,0.5231187343597412,0.8621841073036194,protocol_A/test_iid/PA_test_iid_0141_b11
PA_test_iid_0142_b11,A,test_iid,0,A,1,1,2546,10942,0.23668205805613174,0.559418797492981,0.8632248640060425,protocol_A/test_iid/PA_test_iid_0142_b11
PA_test_iid_0143_b11,A,test_iid,0,A,1,1,2447,10401,0.14370937310795287,0.5230464339256287,0.8644962310791016,protocol_A/test_iid/PA_test_iid_0143_b11
PA_test_iid_0144_b11,A,test_iid,0,A,1,1,2439,10257,0.10241015045470578,0.4419858157634735,0.8618952035903931,protocol_A/test_iid/PA_test_iid_0144_b11
PA_test_iid_0145_b11,A,test_iid,0,A,1,1,2501,10822,0.21060693491171711,0.4228542149066925,0.8642910122871399,protocol_A/test_iid/PA_test_iid_0145_b11
PA_test_iid_0146_b11,A,test_iid,0,A,1,1,2512,10802,0.13981366851538635,0.4288799464702606,0.8622164726257324,protocol_A/test_iid/PA_test_iid_0146_b11
PA_test_iid_0147_b11,A,test_iid,0,A,1,1,2561,10948,0.2102761366647882,0.4665369689464569,0.8637118935585022,protocol_A/test_iid/PA_test_iid_0147_b11
PA_test_iid_0148_b11,A,test_iid,0,A,1,1,2495,10690,0.23232202815203762,0.5499359965324402,0.8620568513870239,protocol_A/test_iid/PA_test_iid_0148_b11
PA_test_iid_0149_b11,A,test_iid,0,A,1,1,2458,10558,0.17653171152548902,0.4800046682357788,0.8639126420021057,protocol_A/test_iid/PA_test_iid_0149_b11
PA_test_iid_0150_b11,A,test_iid,0,A,1,1,2398,10053,0.12205436930964922,0.4706454277038574,0.8594726324081421,protocol_A/test_iid/PA_test_iid_0150_b11
PA_test_iid_0151_b11,A,test_iid,0,A,1,1,2617,11055,0.11056809400003523,0.4473515748977661,0.8595435619354248,protocol_A/test_iid/PA_test_iid_0151_b11
PA_test_iid_0152_b11,A,test_iid,0,A,1,1,2513,10762,0.1478210809988929,0.5558961033821106,0.8637887835502625,protocol_A/test_iid/PA_test_iid_0152_b11
PA_test_iid_0153_b11,A,test_iid,0,A,1,1,2422,10172,0.10154359615055435,0.44783148169517517,0.8571025729179382,protocol_A/test_iid/PA_test_iid_0153_b11
PA_test_iid_0154_b11,A,test_iid,0,A,1,1,2547,10969,0.10995341854458357,0.490842342376709,0.8648788928985596,protocol_A/test_iid/PA_test_iid_0154_b11
PA_test_iid_0155_b11,A,test_iid,0,A,1,1,2386,10034,0.12441320810913445,0.502941906452179,0.8571865558624268,protocol_A/test_iid/PA_test_iid_0155_b11
PA_test_iid_0156_b11,A,test_iid,0,A,1,1,2599,11113,0.19142527390493375,0.5377309322357178,0.8657899498939514,protocol_A/test_iid/PA_test_iid_0156_b11
PA_test_iid_0157_b11,A,test_iid,0,A,1,1,2491,10516,0.13291879827184638,0.5230090022087097,0.8609205484390259,protocol_A/test_iid/PA_test_iid_0157_b11
PA_test_iid_0158_b11,A,test_iid,0,A,1,1,2524,10677,0.16351178609505088,0.5289106965065002,0.8603060841560364,protocol_A/test_iid/PA_test_iid_0158_b11
